ID,LOCATION,PLOT,ROW,COLUMN,REP,nitrogen_dose,irrigation,cultivar,TRT_COMB,YIELD
1,fayetteville,101,1,1,1,2,1,0,2*1*0,173.78
2,fayetteville,102,1,2,1,0,1,1,0*1*1,148.67
3,fayetteville,103,1,3,1,1,2,0,1*2*0,115.54
4,fayetteville,104,1,4,1,0,0,0,0*0*0,180.32
5,fayetteville,105,1,5,1,1,0,0,1*0*0,144.4
6,fayetteville,106,1,6,1,1,1,1,1*1*1,138.18
12,fayetteville,107,2,6,1,0,0,1,0*0*1,152.23
11,fayetteville,108,2,5,1,2,2,0,2*2*0,166.62
10,fayetteville,109,2,4,1,1,0,1,1*0*1,157.14
9,fayetteville,110,2,3,1,2,0,0,2*0*0,137.43
8,fayetteville,111,2,2,1,2,1,1,2*1*1,126.49
7,fayetteville,112,2,1,1,2,0,1,2*0*1,135.03
13,fayetteville,113,3,1,1,1,2,1,1*2*1,170.68
14,fayetteville,114,3,2,1,1,1,0,1*1*0,162.46
15,fayetteville,115,3,3,1,0,2,0,0*2*0,121.81
16,fayetteville,116,3,4,1,0,1,0,0*1*0,183.86
17,fayetteville,117,3,5,1,2,2,1,2*2*1,162.66
18,fayetteville,118,3,6,1,0,2,1,0*2*1,123.6
24,fayetteville,201,4,6,2,2,2,0,2*2*0,165.68
23,fayetteville,202,4,5,2,1,1,0,1*1*0,158.97
22,fayetteville,203,4,4,2,1,2,0,1*2*0,115.81
21,fayetteville,204,4,3,2,0,0,0,0*0*0,181.01
20,fayetteville,205,4,2,2,1,2,1,1*2*1,171.67
19,fayetteville,206,4,1,2,0,0,1,0*0*1,150.28
25,fayetteville,207,5,1,2,0,2,0,0*2*0,120.17
26,fayetteville,208,5,2,2,1,1,1,1*1*1,139.8
27,fayetteville,209,5,3,2,2,0,0,2*0*0,136.73
28,fayetteville,210,5,4,2,2,0,1,2*0*1,135
29,fayetteville,211,5,5,2,0,1,0,0*1*0,183.64
30,fayetteville,212,5,6,2,2,2,1,2*2*1,162.4
36,fayetteville,213,6,6,2,0,2,1,0*2*1,126.83
35,fayetteville,214,6,5,2,2,1,1,2*1*1,130.8
34,fayetteville,215,6,4,2,0,1,1,0*1*1,150.92
33,fayetteville,216,6,3,2,1,0,0,1*0*0,142.67
32,fayetteville,217,6,2,2,2,1,0,2*1*0,176.45
31,fayetteville,218,6,1,2,1,0,1,1*0*1,155.65
37,fayetteville,301,7,1,3,1,1,1,1*1*1,141.01
38,fayetteville,302,7,2,3,1,0,0,1*0*0,145.19
39,fayetteville,303,7,3,3,2,0,0,2*0*0,135.24
40,fayetteville,304,7,4,3,1,2,0,1*2*0,116.27
41,fayetteville,305,7,5,3,0,1,0,0*1*0,183.45
42,fayetteville,306,7,6,3,0,2,1,0*2*1,123.18
48,fayetteville,307,8,6,3,1,0,1,1*0*1,154.96
47,fayetteville,308,8,5,3,0,2,0,0*2*0,121.98
46,fayetteville,309,8,4,3,1,1,0,1*1*0,158.19
45,fayetteville,310,8,3,3,2,1,0,2*1*0,175.12
44,fayetteville,311,8,2,3,0,0,0,0*0*0,180.61
43,fayetteville,312,8,1,3,2,1,1,2*1*1,127.45
49,fayetteville,313,9,1,3,2,0,1,2*0*1,130.35
50,fayetteville,314,9,2,3,2,2,1,2*2*1,164.71
51,fayetteville,315,9,3,3,1,2,1,1*2*1,172.92
52,fayetteville,316,9,4,3,2,2,0,2*2*0,165.39
53,fayetteville,317,9,5,3,0,1,1,0*1*1,149.23
54,fayetteville,318,9,6,3,0,0,1,0*0*1,151.71
60,fayetteville,401,10,6,4,0,0,0,0*0*0,177.77
59,fayetteville,402,10,5,4,1,1,0,1*1*0,158.97
58,fayetteville,403,10,4,4,2,0,1,2*0*1,131.2
57,fayetteville,404,10,3,4,2,2,1,2*2*1,163.49
56,fayetteville,405,10,2,4,0,2,1,0*2*1,124.96
55,fayetteville,406,10,1,4,1,0,0,1*0*0,144.55
